No,Provinsi,Kabupaten/Kota,Nama Sekolah,Tingkat Sekolah,Tingkat Penghargaan,Jenis Sekolah
1,ACEH,KOTA LANGSA,SDN 11 LANGSA,SD/MI,MANDIRI,negeri
2,ACEH,KOTA BANDA ACEH,MIN 5 KOTA BANDA ACEH,SD/MI,NASIONAL,negeri
3,ACEH,ACEH TIMUR,SMPN 1 IDI,SMP/MTS,NASIONAL,negeri
4,ACEH,KOTA BANDA ACEH,SMPN 1 BANDA ACEH,SMP/MTS,NASIONAL,negeri
5,ACEH,KOTA BANDA ACEH,SMPN 17 BANDA ACEH,SMP/MTS,NASIONAL,negeri
6,ACEH,KOTA BANDA ACEH,SMPN 19 PERCONTOHAN BANDA ACEH,SMP/MTS,NASIONAL,negeri
7,SUMATERA UTARA,TAPANULI TENGAH,MIN 7 TAPANULI TENGAH,SD/MI,MANDIRI,negeri
8,SUMATERA UTARA,TAPANULI SELATAN,SDN 100712 HAPESONG LAMA,SD/MI,NASIONAL,negeri
9,SUMATERA UTARA,TAPANULI SELATAN,SMPN 1 BAT ANG TORU,SMP/MTS,NASIONAL,negeri
10,SUMATERA UTARA,TOBA SAMOSIR,SMPS BONAPASOGIT SEJAHTERA,SMP/MTS,NASIONAL,swasta
11,SUMATERA BARAT,AGAM,SDN 10 SANGKIR,SD/MI,NASIONAL,negeri
12,SUMATERA BARAT,SIJUNJUNG,SDN 1 SIJUNJUNG,SD/MI,NASIONAL,negeri
13,SUMATERA BARAT,SIJUNJUNG,SDN 6 PALANGKI,SD/MI,NASIONAL,negeri
14,SUMATERA BARAT,KOTA BUKITTINGGI,SDN 03 PAKAN LABUAH,SD/MI,NASIONAL,negeri
15,SUMATERA BARAT,KOTA PADANG PANJANG,SDN 5 PADANG PANJANG BARAT,SD/MI,NASIONAL,negeri
16,SUMATERA BARAT,KOTA PARIAMAN,SDN 12 CUBADAKMENTAWAI,SD/MI,NASIONAL,negeri
17,SUMATERA BARAT,PAYAKUMBUH,SDN 03 PAYAKUMBUH,SD/MI,NASIONAL,negeri
18,SUMATERA BARAT,PAYAKUMBUH,SDN 58 PAYAKUMBUH,SD/MI,NASIONAL,negeri
19,SUMATERA BARAT,SIJUNJUNG,SMPN 6 SIJUNJUNG,SMP/MTS,NASIONAL,negeri
20,SUMATERA BARAT,KOTA PADANG PANJANG,MTSS DMP DINIYAH PUTERI,SMP/MTS,NASIONAL,swasta
21,SUMATERA BARAT,PAYAKUMBUH,SMPN 1 PAYAKUMBUH,SMP/MTS,NASIONAL,negeri
22,SUMATERA BARAT,KOTA PADANG,SMAN 7 PADANG,SMA/MA/SMK,NASIONAL,negeri
23,RIAU,PELALAWAN,SD GLOBAL ANDALAN,SD/MI,MANDIRI,swasta
24,RIAU,SIAK,SDN 06 PERAWANG BARAT,SD/MI,MANDIRI,negeri
25,RIAU,SIAK,SDN 04 MINAS JAYA,SD/MI,MANDIRI,negeri
26,RIAU,BENGKALIS,SDN 2 BANTAN,SD/MI,NASIONAL,negeri
27,RIAU,KUANTAN SINGINGI,SDS GLOBAL ANDALAN ESTATE BASERAH,SD/MI,NASIONAL,swasta
28,RIAU,KUANTAN SINGINGI,SDS GLOBAL ANDALAN ESTATE LOGAS,SD/MI,NASIONAL,swasta
29,RIAU,PELALAWAN,SDN 005 MAKMUR,SD/MI,NASIONAL,negeri
30,RIAU,ROKAN HILIR,SDN 006 BAGAN BARAT,SD/MI,NASIONAL,negeri
31,RIAU,ROKAN HILIR,SDN 007 SERUSA MATI,SD/MI,NASIONAL,negeri
32,RIAU,SIAK,SD ISLAM PLUS AL-HIKMAH KANDIS,SD/MI,NASIONAL,swasta
33,RIAU,SIAK,SDN 03 PERAWANG BARAT,SD/MI,NASIONAL,swasta
34,RIAU,KOTA PEKANBARU,SD CENDANA RUMBAI,SD/MI,NASIONAL,swasta
35,RIAU,KOTA PEKANBARU,SDN 107 PEKANBARU,SD/MI,NASIONAL,negeri
36,RIAU,KAMPAR,UPT SMPN 4 SIAK HULU,SMP/MTS,MANDIRI,negeri
37,RIAU,SIAK,SMPN 5 KANDIS,SMP/MTS,MANDIRI,negeri
38,RIAU,ROKAN HILIR,SMPN 4 RIMBA MELINTANG,SMP/MTS,NASIONAL,negeri
39,RIAU,SIAK,MTSN 2 SIAK,SMP/MTS,NASIONAL,negeri
40,RIAU,SIAK,SMP KIMIA TIRTA UTAMA,SMP/MTS,NASIONAL,swasta
41,RIAU,SIAK,SMPN 1 MINAS,SMP/MTS,NASIONAL,negeri
42,RIAU,SIAK,SMPN 7 KANDIS,SMP/MTS,NASIONAL,negeri
43,RIAU,KOTA PEKANBARU,SMPN 11 PEKANBARU,SMP/MTS,NASIONAL,negeri
44,RIAU,KOTA PEKANBARU,SMK KEHUTANAN NEGERI PEKANBARU,SMA/MA/SMK,MANDIRI,negeri
45,RIAU,SIAK,SMAN 1 KOTO GASIB,SMA/MA/SMK,NASIONAL,negeri
46,RIAU,SIAK,SMAN 1 SABAK AUH,SMA/MA/SMK,NASIONAL,negeri
47,RIAU,KOTA PEKANBARU,SMAN 3 PEKANBARU,SMA/MA/SMK,NASIONAL,negeri
48,KEPULAUAN RIAU,KARIMUN,SDN 003 KUNDUR UTARA,SD/MI,MANDIRI,negeri
49,KEPULAUAN RIAU,KARIMUN,SDS 005 CAHAYA MERAL,SD/MI,NASIONAL,swasta
50,KEPULAUAN RIAU,KARIMUN,SMPN 1 MERAL,SMP/MTS,MANDIRI,negeri
51,KEPULAUAN RIAU,KOTA TANJUNG PINANG,SMPN 7 TANJUNGPINANG,SMP/MTS,MANDIRI,negeri
52,KEPULAUAN RIAU,KOTA TANJUNG PINANG,SMPN 4 TANJUNGPINANG,SMP/MTS,MANDIRI,negeri
53,KEPULAUAN RIAU,KOTA TANJUNG PINANG,SMPN 11 TANJUNGPINANG,SMP/MTS,NASIONAL,negeri
54,KEPULAUAN RIAU,KOTA TANJUNG PINANG,SMPN 5 TANJUNGPINANG,SMP/MTS,NASIONAL,negeri
55,KEPULAUAN RIAU,KOTA TANJUNG PINANG,SMPN 8 TANJUNGPINANG,SMP/MTS,NASIONAL,negeri
56,KEPULAUAN RIAU,BINTAN,SMAN 1 TELUK SEBONG,SMA/MA/SMK,MANDIRI,negeri
57,KEPULAUAN RIAU,KARIMUN,SMAN 4 KARIMUN,SMA/MA/SMK,MANDIRI,negeri
58,KEPULAUAN RIAU,BINTAN,SMAS TUNAS BANGSA,SMA/MA/SMK,NASIONAL,swasta
59,JAMBI,-,-,-,-,-
60,SUMATERA SELATAN,MUARA ENIM,SDN 16 LAWANG KIDUL,SD/MI,MANDIRI,negeri
61,SUMATERA SELATAN,MUARA ENIM,SDN 4 LAWANG KIDUL,SD/MI,MANDIRI,negeri
62,SUMATERA SELATAN,MUARA ENIM,SDN 12 LAWANG KIDUL,SD/MI,NASIONAL,negeri
63,SUMATERA SELATAN,MUARA ENIM,SDN 14 LAWANG KIDUL,SD/MI,NASIONAL,negeri
64,SUMATERA SELATAN,MUARA ENIM,SDN 20 RAMBANG NIRU,SD/MI,NASIONAL,negeri
65,SUMATERA SELATAN,MUARA ENIM,SDN 23 LAWANG KIDUL,SD/MI,NASIONAL,negeri
66,SUMATERA SELATAN,MUARA ENIM,SDN 3 MUARA ENIM,SD/MI,NASIONAL,negeri
67,SUMATERA SELATAN,MUARA ENIM,SDN 3 PANANG ENIM,SD/MI,NASIONAL,negeri
68,SUMATERA SELATAN,MUARA ENIM,SDN 5 TANJUNG AGUNG,SD/MI,NASIONAL,negeri
69,SUMATERA SELATAN,MUARA ENIM,SDN 6 TANJUNG AGUNG,SD/MI,NASIONAL,negeri
70,SUMATERA SELATAN,MUARA ENIM,SDN 7 LUBAI ULU,SD/MI,NASIONAL,negeri
71,SUMATERA SELATAN,MUSI RAWAS,SLBN MUSI RAWAS,SLB,NASIONAL,swasta
72,KEPULAUAN BANGKA BELITUNG,BANGKA,SDN 17 TANJUNGPANDAN,SD/MI,NASIONAL,negeri
73,KEPULAUAN BANGKA BELITUNG,BANGKA,UPTD SMPN 1 PUDING BESAR,SMP/MTS,NASIONAL,negeri
74,KEPULAUAN BANGKA BELITUNG,BANGKA BARAT,SMAN 1 JEBUS,SMA/MA/SMK,MANDIRI,negeri
75,KEPULAUAN BANGKA BELITUNG,BANGKA,SMKN 1 TANJUNGPANDAN,SMA/MA/SMK,NASIONAL,negeri
76,BENGKULU,-,-,-,-,-
77,LAMPUNG,LAMPUNG BARAT,MIN 2 LAMPUNG BARAT,SD/MI,MANDIRI,negeri
78,LAMPUNG,LAMPUNG BARAT,SDN 1 SUKAPURA,SD/MI,NASIONAL,negeri
79,LAMPUNG,KOTA METRO,SDN 7 METRO UTARA,SD/MI,NASIONAL,negeri
80,LAMPUNG,LAMPUNG BARAT,SMPN 1 AIR HITAM,SMP/MTS,MANDIRI,negeri
81,LAMPUNG,LAMPUNG BARAT,SMPN 2 WAY TENONG,SMP/MTS,NASIONAL,negeri
82,LAMPUNG,PRINGSEWU,UPT SMPN 1 ADILUWIH,SMP/MTS,NASIONAL,negeri
83,LAMPUNG,KOTA METRO,SMPN 3 METRO,SMP/MTS,NASIONAL,negeri
84,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN WIJAYA KUSUMA 05,SD/MI,MANDIRI,negeri
85,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN KEBON JERUK 01,SD/MI,MANDIRI,negeri
86,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN KEBON JERUK 06,SD/MI,MANDIRI,negeri
87,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN SUKABUMI SELATAN 07,SD/MI,MANDIRI,negeri
88,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SDN PEKAYON 18 PAGI,SD/MI,MANDIRI,negeri
89,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN DURI KEPA 05 PAGI,SD/MI,NASIONAL,negeri
90,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN JELAMBAR 03 PAGI,SD/MI,NASIONAL,negeri
91,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN KEBON JERUK 04 PAGI,SD/MI,NASIONAL,negeri
92,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN KEBON JERUK 10,SD/MI,NASIONAL,negeri
93,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN KEBON JERUK 17 PAGI,SD/MI,NASIONAL,negeri
94,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN KELAPA DUA 01 PAGI,SD/MI,NASIONAL,negeri
95,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN KELAPA DUA 06 PAG,SD/MI,NASIONAL,negeri
96,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SDN SUKABUMI SELATAN 06 PAGI,SD/MI,NASIONAL,negeri
97,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,SDN JOHAR BARU 09 PAGI,SD/MI,NASIONAL,negeri
98,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,SDN JOHAR BARU 29 PAGI,SD/MI,NASIONAL,negeri
99,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,SDN PONDOK LABU 07,SD/MI,NASIONAL,negeri
100,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SDN BAMBU APUS 04 PAGI,SD/MI,NASIONAL,negeri
101,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SDN CIBUBUR 04 PAGI,SD/MI,NASIONAL,negeri
102,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SDN CIRACAS 07 PAGI,SD/MI,NASIONAL,negeri
103,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SDN GEDONG 05,SD/MI,NASIONAL,negeri
104,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SDN PONDOK RANGGON 01 PAGI,SD/MI,NASIONAL,negeri
105,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SDN RAMBUTAN 03 PAGI,SD/MI,NASIONAL,negeri
106,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,SDN LAGOA 09 PAGI JAKARTA,SD/MI,NASIONAL,negeri
107,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,SDN LAGOA 11,SD/MI,NASIONAL,negeri
108,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,SDN SUNTER AGUNG 05 PAGI,SD/MI,NASIONAL,negeri
109,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,SDN TUGU UTARA 22,SD/MI,NASIONAL,negeri
110,DKI JAKARTA,KOTA ADM. JAKARTA TIMUR,SMPN 193 JAKARTA,SMP/MTS,MANDIRI,negeri
111,DKI JAKARTA,KOTA ADM. JAKARTA BARAT,SMPN 111 JAKARTA,SMP/MTS,NASIONAL,negeri
112,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,SMPN 37 JAKARTA,SMP/MTS,NASIONAL,negeri
113,DKI JAKARTA,KOTA ADM. JAKARTA PUSAT,SMKN 2 JAKARTA,SMA/MA/SMK,NASIONAL,negeri
114,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,SMAN 38 JAKARTA,SMA/MA/SMK,NASIONAL,negeri
115,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,SMKN 28 JAKARTA,SMA/MA/SMK,NASIONAL,negeri
116,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,SMKN 37 JAKARTA,SMA/MA/SMK,NASIONAL,negeri
117,DKI JAKARTA,KOTA ADM. JAKARTA SELATAN,SMKN 63 JAKARTA,SMA/MA/SMK,NASIONAL,negeri
118,DKI JAKARTA,KOTA ADM. JAKARTA UTARA,SMAN 40 JAKARTA,SMA/MA/SMK,NASIONAL,negeri
119,BANTEN,KABUPATEN TANGERANG,MIN 6 TANGERANG,SD/MI,MANDIRI,negeri
120,BANTEN,KOTA TANGERANG,SDN PANUNGGANGAN 9,SD/MI,MANDIRI,negeri
121,BANTEN,KOTA TANGERANG,SDN KARAWACI BARU 3,SD/MI,MANDIRI,negeri
122,BANTEN,KOTA TANGERANG,SDN KARAWACI BARU 7,SD/MI,MANDIRI,negeri
123,BANTEN,KOTA TANGERANG,SDN KARAWACI 8,SD/MI,MANDIRI,negeri
124,BANTEN,KOTA TANGERANG,SDN CIKOKOL 1,SD/MI,MANDIRI,negeri
125,BANTEN,KOTA TANGERANG,SDN KARAWACI 13,SD/MI,MANDIRI,negeri
126,BANTEN,KOTA TANGERANG,SDN PASAR BARU 1,SD/MI,MANDIRI,negeri
127,BANTEN,KOTA TANGERANG,SDN KARAWACI 5,SD/MI,MANDIRI,negeri
128,BANTEN,KABUPATEN TANGERANG,SDN PASARKEMIS III,SD/MI,NASIONAL,negeri
129,BANTEN,KOTA CILEGON,SD ISLAM AL- AZHAR 40 YPKS,SD/MI,NASIONAL,swasta
130,BANTEN,KOTA TANGERANG,SD STRADA SANTA MARIA,SD/MI,NASIONAL,swasta
131,BANTEN,KOTA TANGERANG,SD STRADA SLAMET RIYADI 01,SD/MI,NASIONAL,swasta
132,BANTEN,KOTA TANGERANG,SD STRADA ST FRANSISKUS,SD/MI,NASIONAL,swasta
133,BANTEN,KOTA TANGERANG,SDN BELENDUNG,SD/MI,NASIONAL,negeri
134,BANTEN,KOTA TANGERANG,SDN BUGEL 3,SD/MI,NASIONAL,negeri
135,BANTEN,KOTA TANGERANG,SDN CIMONE 1,SD/MI,NASIONAL,negeri
136,BANTEN,KOTA TANGERANG,SDN CIPETE 3,SD/MI,NASIONAL,negeri
137,BANTEN,KOTA TANGERANG,SDN GERENDENG 1,SD/MI,NASIONAL,swasta
138,BANTEN,KOTA TANGERANG,SDN GERENDENG 2,SD/MI,NASIONAL,negeri
139,BANTEN,KOTA TANGERANG,SDN KARAWACI 1,SD/MI,NASIONAL,negeri
140,BANTEN,KOTA TANGERANG,SDN PABUARAN 1,SD/MI,NASIONAL,negeri
141,BANTEN,KOTA TANGERANG,SDN PERIUK 4,SD/MI,NASIONAL,negeri
142,BANTEN,KOTA TANGERANG,SDN PETIR 3,SD/MI,NASIONAL,negeri
143,BANTEN,KOTA TANGERANG,SDN PORIS PELAWAD 7,SD/MI,NASIONAL,negeri
144,BANTEN,KOTA TANGERANG SELATAN,SD ISLAM AL SYUKRO,SD/MI,NASIONAL,swasta
145,BANTEN,KOTA TANGERANG SELATAN,SDN PERIGI 01,SD/MI,NASIONAL,negeri
146,BANTEN,KOTA TANGERANG SELATAN,SDN PONDOK BENDA 01,SD/MI,NASIONAL,swasta
147,BANTEN,KABUPATEN TANGERANG,SMPN 1 KELAPA DUA,SMP/MTS,MANDIRI,negeri
148,BANTEN,KOTA TANGERANG,UPT SMP NEGERI 24 TANGERANG,SMP/MTS,MANDIRI,negeri
149,BANTEN,KOTA TANGERANG,SMPN 18 TANGERANG,SMP/MTS,MANDIRI,negeri
150,BANTEN,KOTA TANGERANG SELATAN,SMPN 9 TANGERANG SELATAN,SMP/MTS,MANDIRI,negeri
151,BANTEN,KABUPATEN TANGERANG,SMPN 1 LEGOK,SMP/MTS,NASIONAL,negeri
152,BANTEN,KABUPATEN TANGERANG,SMPN 2 PAGEDANGAN,SMP/MTS,NASIONAL,negeri
153,BANTEN,KABUPATEN TANGERANG,SMPN 3 BALARAJA,SMP/MTS,NASIONAL,negeri
154,BANTEN,KABUPATEN TANGERANG,SMPN 3 CURUG,SMP/MTS,NASIONAL,negeri
155,BANTEN,KABUPATEN TANGERANG,SMPN 3 PASAR KEMI,SMP/MTS,NASIONAL,negeri
156,BANTEN,KABUPATEN TANGERANG,SMPN 4 CURUG,SMP/MTS,NASIONAL,negeri
157,BANTEN,KOTA TANGERANG,SMP STRADA SLAMET RIYADI,SMP/MTS,NASIONAL,swasta
158,BANTEN,KOTA TANGERANG,SMPN 12 TANGERANG,SMP/MTS,NASIONAL,negeri
159,BANTEN,KOTA TANGERANG,SMPN 13 TANGERANG,SMP/MTS,NASIONAL,negeri
160,BANTEN,KOTA TANGERANG,SMPN 15 TANGERANG,SMP/MTS,NASIONAL,negeri
161,BANTEN,KOTA TANGERANG,SMPN 17 TANGERANG,SMP/MTS,NASIONAL,negeri
162,BANTEN,KOTA TANGERANG,SMPN 2 TANGERANG,SMP/MTS,NASIONAL,negeri
163,BANTEN,KOTA TANGERANG,SMPN 26 KOTA TANGERANG,SMP/MTS,NASIONAL,negeri
164,BANTEN,KOTA TANGERANG,SMPN 31 KOTA TANGERANG,SMP/MTS,NASIONAL,negeri
165,BANTEN,KOTA TANGERANG,SMPN 6 TANGERANG,SMP/MTS,NASIONAL,negeri
166,BANTEN,KOTA TANGERANG,SMPN 8 TANGERANG,SMP/MTS,NASIONAL,negeri
167,BANTEN,KOTA TANGERANG SELATAN,SMP ISLAM AL SYUKRO,SMP/MTS,NASIONAL,negeri
168,BANTEN,KOTA TANGERANG SELATAN,SMP ISLAM CIKAL HARAPAN I BSD,SMP/MTS,NASIONAL,swasta
169,BANTEN,KOTA TANGERANG SELATAN,UPTD SMPN 5,SMP/MTS,NASIONAL,negeri
170,JAWA BARAT,KOTA BANDUNG,SDN LAMAJANG 02,SD/MI,MANDIRI,negeri
171,JAWA BARAT,KOTA BANDUNG,SD AR RAFI',SD/MI,MANDIRI,negeri
172,JAWA BARAT,KOTA DEPOK,SDIT MIFTAHUL ULUM DEPOK,SD/MI,MANDIRI,swasta
173,JAWA BARAT,KAB. BANDUNG,MIS PERGURUAN ISLAM,SD/MI,NASIONAL,swasta
174,JAWA BARAT,KAB. BANDUNG,SD AL- MABRUR,SD/MI,NASIONAL,swasta
175,JAWA BARAT,KAB. BANDUNG,SD PLUS AR-RAHMAT,SD/MI,NASIONAL,swasta
176,JAWA BARAT,KAB. BANDUNG,SDN KIANGROKE 01,SD/MI,NASIONAL,negeri
